,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,attribute_name,threshold
0,0.93912274495932,0.002738624952365,0.507580599287216,0.022154203227254,0.037627092950145005,0.003086621399427,Full,gradients,topk
1,0.938407121381831,0.00146476037064,0.5121742504962751,0.043283763872619,0.032858166643409,0.004267506960820001,SynD,gradients,topk
2,0.95093738945879,0.0010627665925470001,0.49333639884926006,0.031198747814992003,0.026027213928342,0.0045836920780450005,AsyD1,gradients,topk
3,0.9455017097040441,0.0013477963121500001,0.44612566598274606,0.016638555131527,0.029975540615339004,0.0033515227395830003,AsyD2,gradients,topk
0,0.9559603820304211,0.00047895521781800006,0.680993397511869,0.004864685796584001,0.031409160237789,0.0016422372528500002,Full,deeplift,topk
1,0.9542651653599,0.0009595939373630001,0.708544989123242,0.005320086320025,0.034407218697779005,0.0018253819823280002,SynD,deeplift,topk
2,0.95343709468223,0.001192239090651,0.6166788700475141,0.012168504862777001,0.034067465733025,0.0021030452388410004,AsyD1,deeplift,topk
3,0.9489093267303381,0.0009183413502470001,0.563487737069289,0.010350995414713,0.037944071011545004,0.002425191980705,AsyD2,deeplift,topk
0,0.9533899304327321,0.0005201449121590001,0.662396883403081,0.007707223295177001,0.033735041608297,0.001249722324648,Full,scaled attention,topk
1,0.947532865648764,0.0,0.6363931325302531,0.0,0.036974073868908004,0.0,SynD,scaled attention,topk
2,0.951420823016153,0.0,0.5254896405839771,0.0,0.034440106620148,0.0,AsyD1,scaled attention,topk
3,0.9466454427543921,0.0,0.5021274391239591,0.0,0.038975433042245,0.0,AsyD2,scaled attention,topk
