Rationales_metrics,random,gradients,deeplift,ig,gradientshap,scaled attention,deepliftshap,attention,lime,Domain,thresholder
Sufficiency,0.298834417310301,0.46264621502607906,0.281994791958307,0.465677605918538,0.292178143220227,0.614925121422737,0.29625818352403205,0.496053690048024,0.301071792433034,Full size,topk
Comprehensiveness,0.127835929377278,0.295453121529757,0.194612658177777,0.30127342203698904,0.129579688955191,0.38683385638954604,0.13801949311841502,0.33713714567003605,0.176212776204201,Full size,topk
AOPC_sufficiency,0.276482978789622,0.362188831288553,0.27612402648344603,0.366009997574735,0.2761946882835,0.42391668770748603,0.28762590390714105,0.36925349863135803,0.27359453829019004,Full size,topk
AOPC_comprehensiveness,0.12563318481885702,0.23486033768650902,0.154425044801066,0.23613812327267503,0.12073297802714801,0.304097642806255,0.12252911426686701,0.262650836333704,0.15061503488834402,Full size,topk
Sufficiency,0.351365707362213,0.5283650865692251,0.301582684025386,0.522034665883301,0.33505500975767605,0.638998453976198,0.33183225474829503,0.582029030596366,0.35040277694834304,SynD,topk
Comprehensiveness,0.10835603829102101,0.24506630199532703,0.141548539804944,0.246915950708419,0.115785780877713,0.39135604038312005,0.114427515299286,0.27507384721668104,0.150521519548029,SynD,topk
AOPC_sufficiency,0.29184327436441904,0.38608605998719003,0.27117351926098104,0.38267751180736104,0.28283875111625,0.44113556339319504,0.285501009436743,0.397376964484879,0.287218231887758,SynD,topk
AOPC_comprehensiveness,0.10137549324850001,0.202928820349897,0.137797245603711,0.200122432582048,0.104006604943413,0.298627444646799,0.10223922816779601,0.22055546446263102,0.12330862429707301,SynD,topk
Sufficiency,0.41642734686674604,0.585446065431493,0.39269106925593705,0.5992661396997361,0.40654484407380304,0.6929515456305061,0.428412574684073,0.6516045863874811,0.45860116187252403,AsyD1,topk
Comprehensiveness,0.14325187861795302,0.30205787245716303,0.20616264157500203,0.307971821378398,0.148015742379933,0.49062703107027905,0.155278827587418,0.40817193344179103,0.23057660813253303,AsyD1,topk
AOPC_sufficiency,0.32375877241906903,0.417731799138901,0.312447344027088,0.417912156488067,0.315498410091258,0.48023099495285404,0.32972155385337104,0.443284610955662,0.34383105259477703,AsyD1,topk
AOPC_comprehensiveness,0.11828199188322701,0.236559813646908,0.16064979139419902,0.23270510233599,0.11974148651678101,0.35067422090377404,0.12220907181072702,0.27780211707623303,0.16889976875853302,AsyD1,topk
Sufficiency,0.38704062349789203,0.54012439998643,0.36913463420873005,0.547888619068986,0.372499180457384,0.665497701237384,0.40199887452535604,0.6344746606503381,0.419837352484045,AsyD2,topk
Comprehensiveness,0.127595197637839,0.28123720385288603,0.19221747581051002,0.283655018300009,0.134989888372216,0.472344051208596,0.141724517716136,0.40284271837690405,0.202440551468545,AsyD2,topk
AOPC_sufficiency,0.306866965663533,0.38711299058480203,0.29893490689948604,0.38408582217206805,0.298276474528375,0.45672656296337505,0.312879832139734,0.42978132140601405,0.314244456633234,AsyD2,topk
AOPC_comprehensiveness,0.11072175877416601,0.22558381911647601,0.15614315190875902,0.220002640617658,0.11312130863052201,0.341467452634307,0.113050464199762,0.278244395661552,0.15264130590635602,AsyD2,topk
Sufficiency,0.298834417310301,0.46264621502607906,0.281994791958307,0.465677605918538,0.292178143220227,0.614925121422737,0.29625818352403205,0.496053690048024,0.301071792433034,Full size,contigious
Comprehensiveness,0.127835929377278,0.295453121529757,0.194612658177777,0.30127342203698904,0.129579688955191,0.38683385638954604,0.13801949311841502,0.33713714567003605,0.176212776204201,Full size,contigious
AOPC_sufficiency,0.276482978789622,0.362188831288553,0.27612402648344603,0.366009997574735,0.2761946882835,0.42391668770748603,0.28762590390714105,0.36925349863135803,0.27359453829019004,Full size,contigious
AOPC_comprehensiveness,0.12563318481885702,0.23486033768650902,0.154425044801066,0.23613812327267503,0.12073297802714801,0.304097642806255,0.12252911426686701,0.262650836333704,0.15061503488834402,Full size,contigious
Sufficiency,0.351365707362213,0.5283650865692251,0.301582684025386,0.522034665883301,0.33505500975767605,0.638998453976198,0.33183225474829503,0.582029030596366,0.35040277694834304,SynD,contigious
Comprehensiveness,0.10835603829102101,0.24506630199532703,0.141548539804944,0.246915950708419,0.115785780877713,0.39135604038312005,0.114427515299286,0.27507384721668104,0.150521519548029,SynD,contigious
AOPC_sufficiency,0.29184327436441904,0.38608605998719003,0.27117351926098104,0.38267751180736104,0.28283875111625,0.44113556339319504,0.285501009436743,0.397376964484879,0.287218231887758,SynD,contigious
AOPC_comprehensiveness,0.10137549324850001,0.202928820349897,0.137797245603711,0.200122432582048,0.104006604943413,0.298627444646799,0.10223922816779601,0.22055546446263102,0.12330862429707301,SynD,contigious
Sufficiency,0.41642734686674604,0.585446065431493,0.39269106925593705,0.5992661396997361,0.40654484407380304,0.6929515456305061,0.428412574684073,0.6516045863874811,0.45860116187252403,AsyD1,contigious
Comprehensiveness,0.14325187861795302,0.30205787245716303,0.20616264157500203,0.307971821378398,0.148015742379933,0.49062703107027905,0.155278827587418,0.40817193344179103,0.23057660813253303,AsyD1,contigious
AOPC_sufficiency,0.32375877241906903,0.417731799138901,0.312447344027088,0.417912156488067,0.315498410091258,0.48023099495285404,0.32972155385337104,0.443284610955662,0.34383105259477703,AsyD1,contigious
AOPC_comprehensiveness,0.11828199188322701,0.236559813646908,0.16064979139419902,0.23270510233599,0.11974148651678101,0.35067422090377404,0.12220907181072702,0.27780211707623303,0.16889976875853302,AsyD1,contigious
Sufficiency,0.38704062349789203,0.54012439998643,0.36913463420873005,0.547888619068986,0.372499180457384,0.665497701237384,0.40199887452535604,0.6344746606503381,0.419837352484045,AsyD2,contigious
Comprehensiveness,0.127595197637839,0.28123720385288603,0.19221747581051002,0.283655018300009,0.134989888372216,0.472344051208596,0.141724517716136,0.40284271837690405,0.202440551468545,AsyD2,contigious
AOPC_sufficiency,0.306866965663533,0.38711299058480203,0.29893490689948604,0.38408582217206805,0.298276474528375,0.45672656296337505,0.312879832139734,0.42978132140601405,0.314244456633234,AsyD2,contigious
AOPC_comprehensiveness,0.11072175877416601,0.22558381911647601,0.15614315190875902,0.220002640617658,0.11312130863052201,0.341467452634307,0.113050464199762,0.278244395661552,0.15264130590635602,AsyD2,contigious
